food_id,food_name,category,calories,carbs,protein,fat,fibre,sugar,sodium,vitamin_c,iron,calcium,diet_type,cluster,cluster_name
I048,Hyderabadi Biryani (veg per 200g),Indian,260,40.0,6.0,8.0,3.0,4.5,480,0.0,2.0,50,Vegetarian,0,High Protein Meals
I049,Masoor Dal (100g),Indian,116,20.0,9.0,0.4,8.1,1.8,15,4.5,3.5,30,Vegetarian,1,High Carb Meals
I050,Moong Dal (100g),Indian,103,14.2,7.0,0.4,7.6,1.6,10,2.5,3.3,30,Vegetarian,1,High Carb Meals
I051,Soya Chunks Curry (100g),Indian,345,24.0,52.0,0.5,8.0,6.0,20,0.0,15.0,200,Vegetarian,2,Balanced Meals
I052,Mutton Curry (100g),Indian,250,0.0,21.0,18.0,0.0,0.0,120,0.0,2.0,15,Non-Veg,2,Balanced Meals
I053,Fish Fry (100g),Indian,210,0.0,22.0,12.0,0.0,0.0,300,0.0,1.0,20,Non-Veg,2,Balanced Meals
I054,Goan Fish Curry (100g),Indian,165,4.0,18.0,9.0,0.0,0.5,270,0.0,1.2,18,Non-Veg,2,Balanced Meals
I055,Chicken 65 (100g),Indian,290,6.0,22.0,20.0,0.0,1.5,600,0.0,1.1,10,Non-Veg,2,Balanced Meals
I056,Paneer Butter (per 100g),Indian,320,8.0,10.0,22.0,1.5,3.0,380,2.0,1.2,140,Vegetarian,2,Balanced Meals
I057,Vegetable Korma (100g),Indian,150,10.0,3.0,10.0,3.0,3.5,320,15.0,0.6,80,Vegetarian,1,High Carb Meals
I058,Malabar Parotta (per 100g),Indian,330,32.0,5.0,18.0,1.5,2.1,400,0.0,1.0,30,Vegetarian,0,High Protein Meals
I059,Aloo Paratha (per 120g),Indian,300,45.0,6.0,10.0,4.0,3.5,350,0.0,1.6,40,Vegetarian,0,High Protein Meals
I060,Keer (Rice Khee per 150g),Indian,180,30.0,4.0,6.0,0.5,20.0,60,0.0,0.4,140,Vegetarian,1,High Carb Meals
I061,Idli Sambar Plate (per 200g),Indian,180,38.0,6.0,2.0,3.0,3.5,380,4.0,1.0,30,Vegetarian,1,High Carb Meals
I062,Masala Vada (per 100g),Indian,320,28.0,12.0,16.0,6.0,2.5,450,0.0,3.0,60,Vegetarian,0,High Protein Meals
I063,Keema Pav (per 200g),Indian,330,30.0,14.0,12.0,2.0,3.2,700,0.0,2.0,35,Non-Veg,0,High Protein Meals
I064,Chicken Shawarma (per 200g),Indian,360,28.0,20.0,18.0,2.0,4.5,900,0.0,1.8,40,Non-Veg,2,Balanced Meals
I065,Vegetable Samosa (per 100g),Indian,250,30.0,6.0,12.0,3.0,3.5,420,0.0,1.0,20,Vegetarian,0,High Protein Meals
I066,Chicken Samosa (per 100g),Indian,280,30.0,8.0,14.0,3.0,3.5,520,0.0,1.0,18,Non-Veg,0,High Protein Meals
I067,Pav (bread roll per piece),Indian,120,22.0,4.0,2.5,1.2,3.0,200,0.0,1.0,20,Vegetarian,1,High Carb Meals
I068,Bhuna Gosht (100g),Indian,240,2.0,20.0,18.0,0.0,0.0,400,0.0,2.0,12,Non-Veg,2,Balanced Meals
I069,Malabar Fish Biryani (per 200g),Indian,320,40.0,12.0,12.0,3.0,4.0,520,0.0,1.6,45,Non-Veg,0,High Protein Meals
I070,Aamras (mango pulp per 100g),Indian,137,34.4,1.0,0.6,1.0,30.0,4,36.0,0.2,15,Vegetarian,1,High Carb Meals
I071,Rajma Chawal (per 200g),Indian,280,48.0,13.0,4.0,12.0,3.5,250,2.6,3.7,50,Vegetarian,0,High Protein Meals
I072,Dal Fry (100g),Indian,130,13.0,7.0,5.0,3.1,1.5,150,1.2,3.1,40,Vegetarian,1,High Carb Meals
I073,Misal Pav (per 200g),Indian,330,47.0,10.0,10.0,6.0,6.0,750,0.0,3.0,60,Vegetarian,0,High Protein Meals
I074,Chicken Biryani (per 200g),Indian,330,36.0,14.0,10.0,2.0,3.5,620,0.0,1.4,40,Non-Veg,0,High Protein Meals
I075,Pongal Sambar (per 200g),Indian,200,32.0,6.0,6.0,3.0,2.5,420,4.0,1.2,45,Vegetarian,1,High Carb Meals
I076,Puliyogare (tamarind rice 100g),Indian,140,28.0,2.0,2.0,1.5,4.2,300,0.0,0.5,10,Vegetarian,1,High Carb Meals
I077,Bhuna Paneer (100g),Indian,250,7.0,12.0,18.0,1.8,2.0,320,2.0,1.0,120,Vegetarian,2,Balanced Meals
I078,Chicken Curry (Andhra style 100g),Indian,185,4.0,19.0,10.0,0.0,1.2,310,0.0,1.2,12,Non-Veg,2,Balanced Meals
I079,Palak Chole (100g),Indian,150,18.0,6.0,5.0,6.0,3.1,220,15.0,1.8,50,Vegetarian,1,High Carb Meals
I080,Vegetable Biryani (per 200g),Indian,280,44.0,6.0,8.0,3.0,4.2,480,0.0,1.8,45,Vegetarian,0,High Protein Meals
